fromRow,optionIndex,label,targetRow
1,0,How do I move?,2
1,1,How do I take down the monsters?,3
1,2,How can I pick up an item?,6
1,3,What happens when I die?,8
1,4,When can I choose a job?,10
1,5,Tell me more about this island!,12
1,6,What should I do to become a Warrior?,16
1,7,What should I do to become a Bowman?,17
1,8,What should I do to become a Thief?,18
1,9,What should I do to become a Magician?,19
1,10,What should I do to become a Pirates?,21
1,11,How do I raise the character stats? (S),23
1,12,How do I check the items that I just picked up?,25
1,13,How do I put on an item?,26
1,14,How do I check out the items that I'm wearing?,27
1,15,What are skills?(K),28
1,16,How do I get to Victoria Island?,29
1,17,What are mesos?,30
