name,portrait,text,isChoice,nextRow
Paul,,"Hey, I'm [NPC 9000000], if you're not busy and all ... then can I hang out with you? I heard there are people gathering up around here for an event but I don't want to go there by myself ... Well, do you want to go check it out with me?",false,2
Paul,,"Huh? What kind of an event? Well, that's...",true,
Jean,,"Hey, I'm [NPC 9000001]. I am waiting for my brother [NPC 9000000]. He is supposed to be here by now...",false,4
Jean,,"Hmm... what should I do? The event will start, soon... many people went to participate in the event, so we better be hurry...",false,5
Jean,,"Hey... why don't you go with me? I think my brother will come with other people.",true,
Martin,,"Hey, I'm [NPC 9000011]. I am waiting for my brothers... What takes them so long? I got bored now... If we do not get there on time, we might not be able to participate in the event...",false,7
Martin,,"Hmm... What should I do? The event will start, soon... Many people went to participate in the event, so we better be hurry...",false,8
Martin,,"Hey... why don't you go with me, then?",true,
Tony,,"Hey, I'm [NPC 9000013]. I've been waiting for my brothers for a while, but they haven't gotten here yet. I'm sick and tired of doing things by myself. At least during the event, I don't feel quite so lonely with so many people around me and all. All events require a limited number of people, so if I don't get there fast enough, I won't be able to join.",false,10
Tony,,"We may be cousins and all, but we keep on missing each other. Man, what should I do? The event should start any minute ... A lot of people should be there waiting, and there may not be any space for them ...",false,11
Tony,,"What do you think? Do you want to join me and head over to the event?",true,
Event Assistant,,"All this month MapleStory Global is celebrating its 1st anniversary! The GM's will be holding surprise GM Events throughout the event, so stay on your toes and make sure to participate in at least one of the events for great prizes!",false,
Event Assistant,,"There are many games for this event. It will help you a lot to know how to play the game before you play it. Choose the one you want to know more of!",true,
Event Assistant,,"[Ola Ola] is a game where participants climb ladders to reach the top. Climb your way up and move to the next level by choosing the correct portal out of the numerous portals available.
The game consists of three levels, and the time limit is 6 MINUTES. During [Ola Ola], you won't be able to jump, teleport, haste, or boost your speed using potions or items. There are also trick portals that'll lead you to a strange place, so please be aware of those.",false,
Event Assistant,,"[MapleStory Physical Fitness Test] is a race through an obstacle course much like the Forest of Patience. You can win it by overcoming various obstacles and reach the final destination within the time limit.
The game consists of four levels, and the time limit is 15 MINUTES. During [MapleStory Physical Fitness Test], you won't be able to use teleport or haste.",false,
Event Assistant,,"[Snowball] consists of two teams, Maple Team and Story Team, and the two teams duke it out to see which team rolled the snowball farther and bigger in a limited time. If the game cannot be decided within the time period, then the team that rolled the snowball farther wins.
To roll up the snow, attack it by pressing Ctrl. All long-range attacks and skill-based attack will not work here; only the close-range attacks will work.
If a character touches the snowball, he/she'll be sent back to the starting point. Attack the snowman in front of the starting point to prevent the opposing team from rolling the snow forward. This is where a well-planned strategy works, as the team will decide whether to attack the snowball or the snowman.",false,
Event Assistant,,"[Coconut Harvest] consists of two teams, Maple Team and Story Team, and the two teams duke it out to see which team gathers up more coconuts. The time limit is 5 MINUTES. If the game ends in a tie, an additional 2 minutes will be awarded to determine the winner. If, for some reason, the score stays tied, then the game will end in a draw.
All long-range attacks and skill-based attacks will not work here; only the close-range attacks will work. If you don't have a weapon for the close-range attacks, you can purchase them through an NPC within the event map. No matter the level of character, the weapon, or skills, all damages applied will be the same.
Beware of the obstacles and traps within the map. If the character dies during the game, the character will be eliminated from the game. The player who strikes last before the coconut drops wins. Only the coconuts that hit the ground counts, which means the ones that do not fall off the tree, or the occasional explosion of the coconuts WILL NOT COUNT. There's also a hidden portal at one of the shells at the bottom of the map, so use that wisely!",false,
Event Assistant,,"[OX Quiz] is a game of MapleStory smarts through X's and O's. Once you join the game, turn on the minimap by pressing M to see where the X and O are. A total of 10 questions will be given, and the character that answers them all correctly wins the game.
Once the question is given, use the ladder to enter the area where the correct answer may be, be it X or O. If the character does not choose an answer or is hanging on the ladder past the time limit, the character will be eliminated. Please hold your position until [CORRECT] is off the screen before moving on. To prevent cheating of any kind, all types of chatting will be turned off during the OX quiz.",false,
Event Assistant,,"[Treasure Hunt] is a game in which your goal is to find the treasure scrolls that are hidden all over the map in 10 minutes. There will be a number of mysterious treasure chests hidden away, and once you break them apart, many items will surface from the chest. Your job is to pick out the treasure scroll from those items.
Treasure chests can be destroyed using regular attacks, and once you have the treasure scroll in possession, you can trade it for the Scroll of Secrets through an NPC that's in charge of trading items. The trading NPC can be found on the Treasure Hunt map, but you can also trade your scroll through [Vikin] of Lith Harbor.
This game has its share of hidden portals and hidden teleporting spots. To use them, press the up arrow at a certain spot, and you'll be teleported to a different place. Try jumping around, for you may also run into hidden stairs or ropes. There will also be a treasure chest that'll take you to a hidden spot, and a hidden chest that can only be found through the hidden portal, so try looking around.
During the game of Treasure Hunt, all attack skills will be disabled, so please break the treasure chest with the regular attack.",false,
Event Assistant,,"Either the event has not been started, you already have [Item 4031019], or have already participated in this event within the last 24 hours. Please try again later!",false,
